date,tariff,item,commodity,primary_class,railroad,origin,origin_city,origin_state,destination,destination_city,destination_state,route_mileage,train_type,min_number_of_cars,max_number_of_cars,car_ownership,rule_11_rate,gtr_table,maximum_load_pounds,car_volume_cubic_feet,tariff_fsc_per_bushel,tariff_fsc_per_metric_ton,tariff_fsc_per_short_ton,tariff_fsc_per_ton_mile
2023-04-15,4022,69105.0,Soybeans,N/A,BNSF,"Mitchell, SD",Mitchell,SD,"PNW (Seattle, WA)",Seattle,WA,1624.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.7162,67.8967,61.5964,0.0379
2023-04-15,4022,69105.0,Soybeans,N/A,BNSF,"Phelps (Rock Port), MO",Phelps,MO,"PNW (Seattle, WA)",Seattle,WA,1881.0,Shuttle,110,120.0,Railroad,0,0,"286,000",>=5001,1.7027,68.1658,61.8405,0.0329
2023-04-15,4022,69105.0,Soybeans,N/A,BNSF,"St. Cloud, MN",St. Cloud,MN,"PNW (Seattle, WA)",Seattle,WA,1666.0,Shuttle,110,120.0,Railroad,0,0,"286,000",>=5001,1.7297,68.5184,62.1604,0.0373
2023-04-15,4444,45650.0,Soybeans,N/A,CPKC,"Enderlin, ND",Enderlin,ND,"Kalama, WA",Kalama,WA,1617.0,Unit,110,110.0,Railroad/Private,0,1,,>=5000,1.6041,65.6415,59.5504,0.0368
2023-04-15,4317,,Soybeans,N/A,CSX,"Casey, IL",Casey,IL,"Mobile, AL",Mobile,AL,779.0,Unit,90,90.0,Private,0,1,,>=5000,0.9208,33.8332,30.6937,0.0394
2023-04-15,4317,,Soybeans,N/A,CSX,"Casey, IL",Casey,IL,"Mobile, AL",Mobile,AL,779.0,Unit,90,90.0,Railroad,0,0,,>=5000,0.9803,36.0179,32.6757,0.0419
2023-04-15,4317,,Soybeans,N/A,CSX,"Marion, OH",Marion,OH,"Chesapeake, VA",Chesapeake,VA,760.0,Unit,90,90.0,Private,0,1,,>=5000,0.8259,30.3476,27.5315,0.0362
2023-04-15,4317,,Soybeans,N/A,CSX,"Marion, OH",Marion,OH,"Chesapeake, VA",Chesapeake,VA,760.0,Unit,90,90.0,Railroad,0,0,,>=5000,0.9449,34.717,31.4955,0.0414
2023-05-15,4022,39010.0,Corn,N/A,BNSF,"Brunswick, NE",Brunswick,NE,"Hanford, CA",Hanford,CA,2122.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,0,"286,000",>=5001,1.4681,63.0636,57.2117,0.027
2023-05-15,4022,39013.0,Corn,N/A,BNSF,"Clarkfield, MN",Clarkfield,MN,"PNW (Seattle, WA)",Seattle,WA,1684.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.4177,59.9901,54.4234,0.0323
2023-05-15,4022,39010.0,Corn,N/A,BNSF,"Clarkfield, MN",Clarkfield,MN,"Hereford, TX",Hereford,TX,1066.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.3369,55.2781,50.1486,0.047
2023-05-15,4022,39010.0,Corn,N/A,BNSF,"Edison, NE",Edison,NE,"Hereford, TX",Hereford,TX,728.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.1452,46.8918,42.5405,0.0584
2023-05-15,4022,39013.0,Corn,N/A,BNSF,"Edison, NE",Edison,NE,"PNW (Seattle, WA)",Seattle,WA,1759.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.3874,58.9846,53.5113,0.0304
