date,railroad,tariff,item,commodity,primary_class,origin_city,origin_state,origin,destination_city,destination_state,destination,route_mileage,train_type,min_number_of_cars,max_number_of_cars,car_ownership,rule_11_rate,gtr_table,maximum_load_pounds,tariff_per_car,tariff_per_bushel,tariff_per_metric_ton,tariff_per_short_ton,tariff_per_ton_mile,fsc_per_mile,fsc_per_car,tariff_fsc_per_car,tariff_fsc_per_bushel,tariff_fsc_per_metric_ton,tariff_fsc_per_short_ton,tariff_fsc_per_ton_mile,car_volume_cubic_feet
2022-03-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Albany,NY,"Albany, NY",811.0,Manifest,1,89.0,Private,1,0,,7275,1.9662,72.2443,65.5405,0.0808,0.0,0.0,7275.0,1.9662,72.2443,65.5405,0.0808,5000
2022-03-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Buffalo,NY,"Buffalo, NY",518.0,Manifest,1,89.0,Railroad,1,1,,5396,1.4584,53.5849,48.6126,0.0938,0.0,0.0,5396.0,1.4584,53.5849,48.6126,0.0938,5000
2022-03-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Buffalo,NY,"Buffalo, NY",518.0,Manifest,1,89.0,Private,1,0,,5066,1.3692,50.3078,45.6396,0.0881,0.0,0.0,5066.0,1.3692,50.3078,45.6396,0.0881,5000
2022-03-15,BNSF,4022,45700.0,Wheat,Durum,Northgate,SK,"Northgate, SK",Ames,IA,"Ames, IA",793.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",5998,1.6211,59.5631,54.036,0.0681,0.12,95.16,6093.16,1.6211,60.508,54.8933,0.0692,
2022-03-15,BNSF,4022,45452.0,Wheat,Durum,Williston,ND,"Williston, ND",Superior,WI,"Superior, WI",611.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",3941,1.0651,39.136,35.5045,0.0581,0.12,73.32,4014.32,1.0651,39.8642,36.165,0.0592,
2022-03-15,BNSF,4022,45700.0,Wheat,Durum,Williston,ND,"Williston, ND",St. Louis,MO,"St. Louis, MO",1187.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",5482,1.4816,54.4389,49.3874,0.0416,0.12,142.44,5624.44,1.4816,55.8534,50.6706,0.0427,
2022-03-15,CPKC,4444,15749.0,Wheat,Durum,Westby,MT,"Westby, MT",St. Louis,MO,"St. Louis, MO",1588.0,Unit,100,,Railroad/Private,0,1,"286,000",5692,1.5384,56.5243,51.2793,0.0323,0.36,571.68,6263.68,1.5384,62.2014,56.4295,0.0355,
2022-03-15,BNSF,4022,43910.0,Wheat,HRS,Bucyrus,ND,"Bucyrus, ND",Seattle,WA,"PNW (Seattle, WA)",1267.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",5488,1.4832,54.4985,49.4414,0.039,0.12,152.04,5640.04,1.4832,56.0083,50.8112,0.0401,
2022-03-15,BNSF,4022,45700.0,Wheat,HRS,Drayton,ND,"Drayton, ND",Chicago,IL,"Chicago, IL",806.0,DET,110,120.0,Railroad/Private,1,0,"286,000",4611,1.2462,45.7895,41.5405,0.0515,0.12,96.72,4707.72,1.2462,46.75,42.4119,0.0526,
2022-03-15,BNSF,4022,45700.0,Wheat,HRS,Alton,ND,"Alton (Hillsboro), ND",Chicago,IL,"Chicago, IL",711.0,DET,110,120.0,Railroad/Private,1,1,"286,000",4454,1.2038,44.2304,40.1261,0.0564,0.12,85.32,4539.32,1.2038,45.0777,40.8948,0.0575,
2022-03-15,BNSF,4022,43910.0,Wheat,HRS,Alton,ND,"Alton (Hillsboro), ND",Seattle,WA,"PNW (Seattle, WA)",1501.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",5865,1.5851,58.2423,52.8378,0.0352,0.12,180.12,6045.12,1.5851,60.031,54.4605,0.0363,
2022-03-15,BNSF,4022,43910.0,Wheat,HRS,Macon,MT,"Macon, MT",Seattle,WA,"PNW (Seattle, WA)",1038.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",5062,1.3681,50.2681,45.6036,0.0439,0.12,124.56,5186.56,1.3681,51.5051,46.7258,0.045,
2022-03-15,BNSF,4022,45675.0,Wheat,HRS,Boyle,ND,"Taylor, ND",Grand Forks,ND,"Grand Forks, ND",364.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",2181,0.5895,21.6584,19.6486,0.054,0.12,43.68,2224.68,0.5895,22.0922,20.0422,0.0551,
2022-03-15,BNSF,4022,45452.0,Wheat,HRS,Alton,ND,"Alton (Hillsboro), ND",Superior,WI,"Superior, WI",294.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",2515,0.6797,24.9752,22.6577,0.0771,0.12,35.28,2550.28,0.6797,25.3255,22.9755,0.0781,
2022-03-15,CPKC,4444,15890.0,Wheat,HRS,Minot,ND,"Minot, ND",Kalama,WA,"Kalama, WA",1406.0,Unit,100,,Railroad/Private,0,1,"286,000",5299,1.4322,52.6216,47.7387,0.034,0.36,506.16,5805.16,1.4322,57.6481,52.2987,0.0372,
2022-03-15,CPKC,4444,17500.0,Wheat,HRS,Nekoma,ND,"Nekoma, ND",Chicago,IL,"Chicago, IL",845.0,Manifest,25,25.0,Railroad/Private,1,1,"286,000",4555,1.2311,45.2334,41.036,0.0486,0.36,304.2,4859.2,1.2311,48.2542,43.7766,0.0518,
2022-03-15,BNSF,4022,47321.0,Wheat,HRW,Concordia,KS,"Concordia, KS",Greenwood,IL,"Greenwood (Mendota), IL",638.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",3697,0.9992,36.713,33.3063,0.0522,0.12,76.56,3773.56,0.9992,37.4733,33.996,0.0533,
2022-03-15,BNSF,4022,46307.0,Wheat,HRW,Enid,OK,"Enid, OK",Houston,TX,"Texas Gulf (Houston, TX)",563.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4197,1.1343,41.6783,37.8108,0.0672,0.12,67.56,4264.56,1.1343,42.3492,38.4195,0.0682,
2022-03-15,BNSF,4022,46307.0,Wheat,HRW,Garden City,KS,"Garden City, KS",Houston,TX,"Texas Gulf (Houston, TX)",859.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4782,1.2924,47.4876,43.0811,0.0502,0.12,103.08,4885.08,1.2924,48.5112,44.0097,0.0512,
2022-03-15,BNSF,4022,44306.0,Wheat,HRW,Garden City,KS,"Garden City, KS",Verdemont,CA,"San Bernardino, CA",1376.0,DET,110,120.0,Railroad/Private,0,1,"286,000",5577,1.5073,55.3823,50.2432,0.0365,0.12,165.12,5742.12,1.5073,57.022,51.7308,0.0376,
2022-03-15,BNSF,4022,46307.0,Wheat,HRW,Salina,KS,"Salina, KS",Houston,TX,"Texas Gulf (Houston, TX)",757.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4605,1.2446,45.7299,41.4865,0.0548,0.12,90.84,4695.84,1.2446,46.632,42.3049,0.0559,
2022-03-15,BNSF,4022,47321.0,Wheat,HRW,Wichita,KS,"Wichita, KS",Birmingham,AL,"Birmingham, AL",864.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",3941,1.0651,39.136,35.5045,0.0411,0.12,103.68,4044.68,1.0651,40.1656,36.4386,0.0422,
2022-03-15,BNSF,4022,47321.0,Wheat,HRW,Wichita,KS,"Wichita, KS",Chicago,IL,"Chicago, IL",633.0,DET,110,120.0,Railroad/Private,1,1,"286,000",4067,1.0992,40.3873,36.6396,0.0579,0.12,75.96,4142.96,1.0992,41.1416,37.324,0.059,
2022-03-15,BNSF,4022,46307.0,Wheat,HRW,Wichita,KS,"Wichita, KS",Houston,TX,"Texas Gulf (Houston, TX)",638.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4411,1.1922,43.8034,39.7387,0.0623,0.12,76.56,4487.56,1.1922,44.5637,40.4285,0.0634,
2022-03-15,BNSF,4022,45700.0,Wheat,HRW/HRS,West Bowdle,SD,"Bowdle, SD",Chicago,IL,"Chicago, IL",772.0,DET,110,120.0,Railroad/Private,1,1,"286,000",4441,1.2003,44.1013,40.009,0.0518,0.12,92.64,4533.64,1.2003,45.0213,40.8436,0.0529,
2022-03-15,BNSF,4022,43910.0,Wheat,HRW/HRS,Conrad,MT,"Conrad, MT",Seattle,WA,"PNW (Seattle, WA)",758.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4089,1.1051,40.6058,36.8378,0.0486,0.12,90.96,4179.96,1.1051,41.509,37.6573,0.0497,
2022-03-15,BNSF,4022,43591.0,Wheat,SW,Templin,WA,"Templin (Ritzville), WA",Seattle,WA,"PNW (Seattle, WA)",333.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",1932,0.5222,19.1857,17.4054,0.0523,0.12,39.96,1971.96,0.5222,19.5825,17.7654,0.0533,
2022-04-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Indiantown,FL,"Indiantown, FL",1379.0,Manifest,1,89.0,Railroad,1,1,,7822,2.1141,77.6763,70.4685,0.0511,0.0,0.0,7822.0,2.1141,77.6763,70.4685,0.0511,5000
2022-04-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Indiantown,FL,"Indiantown, FL",1379.0,Manifest,1,89.0,Private,1,0,,7492,2.0249,74.3992,67.4955,0.0489,0.0,0.0,7492.0,2.0249,74.3992,67.4955,0.0489,5000
2022-04-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Albany,NY,"Albany, NY",811.0,Unit,90,90.0,Railroad/Private,1,1,,6670,1.8027,66.2363,60.0901,0.0741,0.0,0.0,6670.0,1.8027,66.2363,60.0901,0.0741,5000
2022-04-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Albany,NY,"Albany, NY",811.0,Manifest,1,89.0,Railroad,1,1,,7605,2.0554,75.5214,68.5135,0.0845,0.0,0.0,7605.0,2.0554,75.5214,68.5135,0.0845,5000
